,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Georgia
5,Hawaii
6,Idaho
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,New Jersey
22,North Carolina
23,North Dakota
24,Ohio
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
